citizenId,name,gender,dob,occupation,incomeCategory,mobile
C00065,Citizen_65,M,1999-04-27,Farmer,High,9000000064
C00066,Citizen_66,F,2004-09-24,Student,Low,9000000065
C00067,Citizen_67,M,1998-08-06,Government Employee,Low,9000000066
C00068,Citizen_68,M,1983-03-17,Student,Low,9000000067
C00069,Citizen_69,F,1991-07-06,Student,Low,9000000068
C00070,Citizen_70,F,2003-04-27,Agricultural Labour,Middle,9000000069
C00071,Citizen_71,F,1990-05-09,Government Employee,Low,9000000070
C00072,Citizen_72,F,1973-05-21,Farmer,Middle,9000000071
C00073,Citizen_73,F,1963-06-01,Retired,Middle,9000000072
C00074,Citizen_74,F,1982-02-01,Student,High,9000000073
C00075,Citizen_75,M,1985-06-01,Agricultural Labour,Middle,9000000074
C00076,Citizen_76,F,1972-02-17,Private Employee,Middle,9000000075
C00077,Citizen_77,M,1991-01-05,Business Owner,Low,9000000076
C00078,Citizen_78,F,1985-06-10,Student,Middle,9000000077
C00079,Citizen_79,M,1994-05-04,Retired,High,9000000078
C00080,Citizen_80,F,1970-03-12,Unemployed,Low,9000000079
C00081,Citizen_81,F,2005-04-04,Government Employee,Middle,9000000080
C00082,Citizen_82,M,1968-07-14,Student,Low,9000000081
C00083,Citizen_83,M,2002-04-16,Business Owner,Low,9000000082
C00084,Citizen_84,F,1991-09-16,Private Employee,Middle,9000000083
C00085,Citizen_85,F,1992-12-24,Unemployed,Low,9000000084
C00086,Citizen_86,M,1966-01-05,Private Employee,Middle,9000000085
C00087,Citizen_87,M,2009-11-08,Farmer,High,9000000086
C00088,Citizen_88,F,1987-10-24,Farmer,Middle,9000000087
C00089,Citizen_89,F,1978-05-16,Agricultural Labour,Middle,9000000088
C00090,Citizen_90,M,1999-03-24,Private Employee,Low,9000000089
C00091,Citizen_91,F,2009-02-28,Business Owner,High,9000000090
C00092,Citizen_92,M,2002-07-07,Retired,High,9000000091
C00093,Citizen_93,M,2004-12-17,Private Employee,Low,9000000092
C00094,Citizen_94,M,1974-02-05,Unemployed,Low,9000000093
C00095,Citizen_95,F,1972-03-14,Farmer,High,9000000094
C00096,Citizen_96,M,1965-01-13,Unemployed,High,9000000095
C00097,Citizen_97,F,2004-11-08,Government Employee,Middle,9000000096
C00098,Citizen_98,F,1990-01-17,Unemployed,High,9000000097
C00099,Citizen_99,M,1979-02-09,Student,Middle,9000000098
C00100,Citizen_100,F,2005-07-08,Student,Low,9000000099
C00101,Citizen_101,M,1962-01-02,Student,Low,9000000100
C00102,Citizen_102,F,1990-05-20,Agricultural Labour,Middle,9000000101
C00103,Citizen_103,M,1976-08-12,Student,Middle,9000000102
C00104,Citizen_104,M,1966-11-01,Private Employee,Middle,9000000103
C00105,Citizen_105,F,2007-06-24,Student,Low,9000000104
C00106,Citizen_106,F,1973-10-13,Agricultural Labour,Low,9000000105
C00107,Citizen_107,M,2000-12-20,Agricultural Labour,Low,9000000106
C00108,Citizen_108,M,1972-12-15,Agricultural Labour,Low,9000000107
C00109,Citizen_109,F,1979-12-16,Government Employee,High,9000000108
C00110,Citizen_110,M,1962-03-07,Unemployed,High,9000000109
C00111,Citizen_111,F,2008-09-12,Student,Middle,9000000110
C00112,Citizen_112,M,1987-02-16,Unemployed,High,9000000111
C00113,Citizen_113,M,1970-10-09,Private Employee,Middle,9000000112
C00114,Citizen_114,M,1996-01-26,Government Employee,High,9000000113
C00115,Citizen_115,F,1991-11-18,Agricultural Labour,Low,9000000114
C00116,Citizen_116,F,2008-09-13,Unemployed,Middle,9000000115
C00117,Citizen_117,F,1973-03-01,Private Employee,High,9000000116
C00118,Citizen_118,M,1997-12-01,Retired,High,9000000117
C00119,Citizen_119,F,1979-04-10,Business Owner,High,9000000118
C00120,Citizen_120,M,1970-04-02,Government Employee,Middle,9000000119
C00121,Citizen_121,M,2000-03-09,Private Employee,Middle,9000000120
C00122,Citizen_122,M,2001-04-27,Government Employee,High,9000000121
C00123,Citizen_123,M,1960-11-12,Student,Middle,9000000122
C00124,Citizen_124,M,2005-09-09,Private Employee,Middle,9000000123
C00125,Citizen_125,F,1980-01-21,Farmer,Middle,9000000124
C00126,Citizen_126,M,2006-05-06,Business Owner,Low,9000000125
C00127,Citizen_127,M,2006-12-23,Unemployed,High,9000000126
C00128,Citizen_128,F,2000-11-20,Government Employee,Middle,9000000127
C00129,Citizen_129,M,1980-05-07,Unemployed,Low,9000000128
C00130,Citizen_130,F,1974-12-24,Unemployed,Middle,9000000129
C00131,Citizen_131,M,1990-02-16,Private Employee,Middle,9000000130
C00132,Citizen_132,M,1971-04-19,Retired,High,9000000131
C00133,Citizen_133,M,2001-05-01,Business Owner,Low,9000000132
C00134,Citizen_134,M,1985-11-20,Government Employee,Low,9000000133
C00135,Citizen_135,M,1964-07-08,Retired,High,9000000134
C00136,Citizen_136,F,1966-12-17,Private Employee,High,9000000135
C00137,Citizen_137,M,1998-02-13,Unemployed,Low,9000000136
C00138,Citizen_138,M,1960-11-02,Private Employee,Low,9000000137
C00139,Citizen_139,M,1977-03-21,Farmer,Low,9000000138
C00140,Citizen_140,M,1994-12-27,Student,High,9000000139
C00141,Citizen_141,M,1972-03-16,Retired,Low,9000000140
C00142,Citizen_142,F,1981-08-05,Government Employee,Low,9000000141
C00143,Citizen_143,F,2000-09-04,Farmer,Low,9000000142
C00144,Citizen_144,M,1994-05-04,Unemployed,Low,9000000143
C00145,Citizen_145,M,1974-01-08,Unemployed,Middle,9000000144
C00146,Citizen_146,M,1982-11-10,Government Employee,High,9000000145
C00147,Citizen_147,F,2003-12-27,Agricultural Labour,Middle,9000000146
C00148,Citizen_148,M,1967-04-04,Business Owner,Middle,9000000147
C00149,Citizen_149,M,1999-06-04,Student,Low,9000000148
C00150,Citizen_150,M,1998-03-06,Unemployed,High,9000000149
C00151,Citizen_151,F,1998-03-22,Unemployed,Low,9000000150
C00152,Citizen_152,F,1999-05-12,Agricultural Labour,Middle,9000000151
C00153,Citizen_153,F,2002-06-09,Agricultural Labour,Low,9000000152
C00154,Citizen_154,M,2009-11-05,Student,Low,9000000153
C00155,Citizen_155,F,1988-12-26,Retired,Low,9000000154
C00156,Citizen_156,M,1996-07-24,Business Owner,Low,9000000155
C00157,Citizen_157,M,1980-03-06,Unemployed,Middle,9000000156
C00158,Citizen_158,F,1991-07-16,Unemployed,High,9000000157
C00159,Citizen_159,F,1968-11-08,Unemployed,Middle,9000000158
C00160,Citizen_160,F,1994-09-16,Government Employee,Middle,9000000159
C00161,Citizen_161,M,1997-12-14,Government Employee,High,9000000160
C00162,Citizen_162,M,1975-06-01,Government Employee,Low,9000000161
C00163,Citizen_163,F,1995-08-05,Agricultural Labour,Low,9000000162
C00164,Citizen_164,F,1983-03-10,Retired,Low,9000000163
C00165,Citizen_165,F,1975-04-27,Government Employee,Low,9000000164
C00166,Citizen_166,M,1967-12-23,Private Employee,Middle,9000000165
C00167,Citizen_167,M,2004-07-12,Farmer,High,9000000166
C00168,Citizen_168,M,2002-10-03,Retired,High,9000000167
C00169,Citizen_169,M,1961-03-12,Private Employee,Low,9000000168
C00170,Citizen_170,M,1964-01-19,Unemployed,Low,9000000169
C00171,Citizen_171,M,1990-12-05,Business Owner,Middle,9000000170
C00172,Citizen_172,F,2006-06-15,Farmer,Middle,9000000171
C00173,Citizen_173,M,1969-01-21,Farmer,High,9000000172
C00174,Citizen_174,M,1992-03-01,Unemployed,Middle,9000000173
C00175,Citizen_175,F,1995-12-27,Business Owner,High,9000000174
C00176,Citizen_176,F,2005-04-14,Private Employee,Middle,9000000175
C00177,Citizen_177,M,1993-07-05,Government Employee,Middle,9000000176
C00178,Citizen_178,M,1974-07-06,Agricultural Labour,High,9000000177
C00179,Citizen_179,F,1990-06-21,Unemployed,Middle,9000000178
C00180,Citizen_180,M,1963-06-21,Unemployed,Low,9000000179
C00181,Citizen_181,F,1966-02-03,Student,High,9000000180
C00182,Citizen_182,F,1961-04-10,Private Employee,High,9000000181
C00183,Citizen_183,M,1964-04-20,Farmer,Middle,9000000182
C00184,Citizen_184,M,1995-04-21,Farmer,Low,9000000183
C00185,Citizen_185,F,1965-10-19,Farmer,High,9000000184
C00186,Citizen_186,F,1962-01-11,Agricultural Labour,Middle,9000000185
C00187,Citizen_187,M,1982-05-13,Government Employee,Middle,9000000186
C00188,Citizen_188,F,2006-06-05,Agricultural Labour,Middle,9000000187
C00189,Citizen_189,F,2007-09-04,Private Employee,Low,9000000188
C00190,Citizen_190,F,1990-10-28,Farmer,Middle,9000000189
C00191,Citizen_191,M,1969-11-15,Agricultural Labour,High,9000000190
C00192,Citizen_192,M,2005-04-07,Private Employee,High,9000000191
C00193,Citizen_193,M,1992-09-24,Student,Middle,9000000192
C00194,Citizen_194,M,1981-05-12,Unemployed,Low,9000000193
C00195,Citizen_195,F,1975-04-20,Agricultural Labour,Low,9000000194
C00196,Citizen_196,F,1966-01-05,Business Owner,High,9000000195
C00197,Citizen_197,M,1991-02-15,Student,Low,9000000196
C00198,Citizen_198,F,1970-02-09,Student,Middle,9000000197
C00199,Citizen_199,M,1964-03-23,Retired,Middle,9000000198
C00200,Citizen_200,F,1976-08-21,Private Employee,Low,9000000199
C00201,Citizen_201,F,1962-06-28,Business Owner,Middle,9000000200
C00202,Citizen_202,F,1999-11-05,Retired,Middle,9000000201
C00203,Citizen_203,F,1983-02-22,Unemployed,High,9000000202
C00204,Citizen_204,F,1976-11-02,Farmer,High,9000000203
C00205,Citizen_205,M,2004-09-01,Private Employee,Low,9000000204
C00206,Citizen_206,F,1984-03-19,Unemployed,Low,9000000205
C00207,Citizen_207,M,1984-08-22,Agricultural Labour,Middle,9000000206
C00208,Citizen_208,F,1989-11-18,Retired,Low,9000000207
C00209,Citizen_209,M,1971-12-04,Unemployed,Middle,9000000208
C00210,Citizen_210,M,1985-06-03,Student,Middle,9000000209
C00211,Citizen_211,F,1973-12-24,Retired,Low,9000000210
C00212,Citizen_212,F,1989-01-18,Private Employee,Middle,9000000211
C00213,Citizen_213,M,2000-04-11,Farmer,High,9000000212
C00214,Citizen_214,F,1963-06-26,Unemployed,Middle,9000000213
C00215,Citizen_215,M,1963-04-28,Farmer,High,9000000214
C00216,Citizen_216,F,1977-05-21,Private Employee,Low,9000000215
C00217,Citizen_217,M,1964-05-13,Agricultural Labour,Middle,9000000216
C00218,Citizen_218,F,1986-09-07,Business Owner,Low,9000000217
C00219,Citizen_219,M,1965-07-11,Business Owner,Low,9000000218
C00220,Citizen_220,M,1982-07-16,Retired,High,9000000219
C00221,Citizen_221,M,2004-07-12,Unemployed,Low,9000000220
C00222,Citizen_222,M,1964-12-22,Private Employee,Middle,9000000221
C00223,Citizen_223,F,1960-03-15,Private Employee,Middle,9000000222
C00224,Citizen_224,F,1967-11-14,Business Owner,High,9000000223
C00225,Citizen_225,M,1988-03-21,Retired,High,9000000224
C00226,Citizen_226,M,1962-04-24,Government Employee,Middle,9000000225
C00227,Citizen_227,M,1998-07-07,Student,Low,9000000226
C00228,Citizen_228,M,2003-10-01,Student,Middle,9000000227
C00229,Citizen_229,M,1979-05-17,Agricultural Labour,High,9000000228
C00230,Citizen_230,F,2001-08-14,Unemployed,Middle,9000000229
C00231,Citizen_231,F,1994-07-17,Student,Low,9000000230
C00232,Citizen_232,M,1989-07-12,Private Employee,High,9000000231
C00233,Citizen_233,M,1994-07-13,Business Owner,High,9000000232
C00234,Citizen_234,F,2000-05-23,Agricultural Labour,Low,9000000233
C00235,Citizen_235,M,1965-11-01,Unemployed,Low,9000000234
C00236,Citizen_236,F,2007-10-18,Agricultural Labour,High,9000000235
C00237,Citizen_237,F,1992-10-26,Farmer,High,9000000236
C00238,Citizen_238,F,1986-04-08,Retired,High,9000000237
C00239,Citizen_239,F,1967-04-28,Retired,Low,9000000238
C00240,Citizen_240,F,2010-08-14,Unemployed,Low,9000000239
C00241,Citizen_241,F,2010-04-17,Business Owner,Middle,9000000240
C00242,Citizen_242,F,1979-07-22,Government Employee,Low,9000000241
C00243,Citizen_243,F,1962-01-01,Private Employee,Middle,9000000242
C00244,Citizen_244,F,1981-03-19,Unemployed,Low,9000000243
C00245,Citizen_245,F,1972-10-21,Unemployed,Low,9000000244
C00246,Citizen_246,F,1968-11-13,Private Employee,Middle,9000000245
C00247,Citizen_247,F,1993-03-14,Government Employee,Low,9000000246
C00248,Citizen_248,M,1992-02-21,Unemployed,High,9000000247
C00249,Citizen_249,F,1995-03-11,Government Employee,Low,9000000248
C00250,Citizen_250,M,1961-07-01,Private Employee,Low,9000000249
C00251,Citizen_251,M,1996-07-01,Private Employee,Middle,9000000250
C00252,Citizen_252,F,1971-04-21,Government Employee,Middle,9000000251
C00253,Citizen_253,M,1994-04-24,Unemployed,Middle,9000000252
C00254,Citizen_254,M,1977-02-05,Farmer,High,9000000253
C00255,Citizen_255,M,1967-08-20,Agricultural Labour,Low,9000000254
C00256,Citizen_256,M,1978-05-06,Agricultural Labour,Low,9000000255
C00257,Citizen_257,F,1983-04-13,Agricultural Labour,Middle,9000000256
C00258,Citizen_258,M,1986-02-16,Agricultural Labour,Low,9000000257
C00259,Citizen_259,F,1984-06-21,Retired,Low,9000000258
C00260,Citizen_260,M,1979-01-06,Farmer,Low,9000000259
C00261,Citizen_261,F,1982-08-20,Farmer,Low,9000000260
C00262,Citizen_262,F,1967-04-20,Farmer,High,9000000261
C00263,Citizen_263,M,1993-09-25,Private Employee,Low,9000000262
C00264,Citizen_264,F,1967-04-01,Student,Low,9000000263
C00265,Citizen_265,M,1965-12-23,Private Employee,Middle,9000000264
C00266,Citizen_266,F,1990-04-03,Student,High,9000000265
C00267,Citizen_267,F,1989-12-26,Retired,Middle,9000000266
C00268,Citizen_268,F,1972-05-06,Government Employee,High,9000000267
C00269,Citizen_269,F,1985-02-19,Business Owner,Low,9000000268
C00270,Citizen_270,M,2006-08-14,Retired,Middle,9000000269
C00271,Citizen_271,F,1980-10-04,Unemployed,Middle,9000000270
C00272,Citizen_272,M,1996-06-12,Agricultural Labour,Middle,9000000271
C00273,Citizen_273,M,1962-09-09,Unemployed,Middle,9000000272
C00274,Citizen_274,F,1985-01-04,Private Employee,Middle,9000000273
C00275,Citizen_275,F,2010-03-12,Government Employee,Low,9000000274
C00276,Citizen_276,M,2002-06-12,Private Employee,Middle,9000000275
C00277,Citizen_277,M,1960-06-23,Farmer,High,9000000276
C00278,Citizen_278,F,1973-08-19,Student,Low,9000000277
C00279,Citizen_279,M,1984-05-20,Government Employee,High,9000000278
C00280,Citizen_280,M,1966-09-09,Agricultural Labour,High,9000000279
C00281,Citizen_281,F,2003-07-11,Student,Low,9000000280
C00282,Citizen_282,M,1963-08-16,Farmer,Middle,9000000281
C00283,Citizen_283,F,1967-02-15,Private Employee,High,9000000282
C00284,Citizen_284,F,1997-07-08,Farmer,Middle,9000000283
C00285,Citizen_285,M,2001-10-01,Retired,Middle,9000000284
C00286,Citizen_286,M,1985-01-18,Farmer,Middle,9000000285
C00287,Citizen_287,M,1964-08-04,Unemployed,High,9000000286
C00288,Citizen_288,F,1977-06-25,Student,Middle,9000000287
C00289,Citizen_289,M,1995-06-16,Farmer,Middle,9000000288
C00290,Citizen_290,F,2004-08-16,Agricultural Labour,Middle,9000000289
C00291,Citizen_291,M,1961-04-02,Farmer,Low,9000000290
C00292,Citizen_292,M,1980-12-24,Unemployed,Low,9000000291
C00293,Citizen_293,M,1965-04-24,Student,High,9000000292
C00294,Citizen_294,M,2004-01-09,Farmer,Low,9000000293
C00295,Citizen_295,M,1979-02-09,Student,High,9000000294
C00296,Citizen_296,F,1977-12-06,Private Employee,High,9000000295
C00297,Citizen_297,F,1967-03-11,Private Employee,High,9000000296
C00298,Citizen_298,F,2000-08-22,Agricultural Labour,High,9000000297
C00299,Citizen_299,M,1996-08-22,Retired,Middle,9000000298
C00300,Citizen_300,F,2009-12-16,Government Employee,Low,9000000299
C00301,Citizen_301,F,2009-05-23,Agricultural Labour,Middle,9000000300
C00302,Citizen_302,M,2002-11-24,Government Employee,High,9000000301
C00303,Citizen_303,M,1964-08-02,Government Employee,Low,9000000302
C00304,Citizen_304,M,1989-07-07,Retired,Low,9000000303
C00305,Citizen_305,F,1973-10-25,Student,Middle,9000000304
C00306,Citizen_306,F,2001-03-28,Agricultural Labour,Low,9000000305
C00307,Citizen_307,M,1983-07-15,Government Employee,Middle,9000000306
C00308,Citizen_308,M,1964-05-14,Private Employee,High,9000000307
C00309,Citizen_309,F,1996-11-04,Private Employee,Middle,9000000308
C00310,Citizen_310,M,2007-02-08,Farmer,Middle,9000000309
C00311,Citizen_311,M,1977-01-16,Retired,Middle,9000000310
C00312,Citizen_312,F,1967-09-03,Student,Middle,9000000311
C00313,Citizen_313,M,1969-07-17,Unemployed,High,9000000312
C00314,Citizen_314,F,1963-08-09,Student,Low,9000000313
C00315,Citizen_315,M,2001-07-24,Unemployed,Low,9000000314
C00316,Citizen_316,F,1972-07-06,Business Owner,High,9000000315
C00317,Citizen_317,F,1993-07-04,Farmer,High,9000000316
C00318,Citizen_318,M,1967-04-04,Farmer,Low,9000000317
C00319,Citizen_319,F,1975-02-18,Agricultural Labour,Middle,9000000318
C00320,Citizen_320,M,1999-12-23,Unemployed,Middle,9000000319
C00321,Citizen_321,F,1966-04-24,Business Owner,Middle,9000000320
C00322,Citizen_322,M,1970-04-12,Business Owner,High,9000000321
C00323,Citizen_323,F,2006-01-04,Private Employee,High,9000000322
C00324,Citizen_324,F,2007-05-28,Government Employee,Low,9000000323
C00325,Citizen_325,F,2003-02-06,Private Employee,Middle,9000000324
C00326,Citizen_326,F,1969-01-22,Retired,Middle,9000000325
C00327,Citizen_327,F,1961-03-09,Agricultural Labour,Low,9000000326
C00328,Citizen_328,M,1998-06-16,Farmer,Middle,9000000327
C00329,Citizen_329,M,1990-02-02,Farmer,High,9000000328
C00330,Citizen_330,F,1974-09-17,Private Employee,Low,9000000329
C00331,Citizen_331,M,1966-05-26,Student,Middle,9000000330
C00332,Citizen_332,F,2007-06-18,Business Owner,High,9000000331
C00333,Citizen_333,F,1976-06-15,Farmer,Middle,9000000332
C00334,Citizen_334,F,2005-06-17,Retired,Low,9000000333
C00335,Citizen_335,F,2003-09-24,Farmer,Low,9000000334
C00336,Citizen_336,F,1974-11-05,Student,Middle,9000000335
C00337,Citizen_337,M,1975-10-24,Unemployed,Middle,9000000336
C00338,Citizen_338,M,2007-02-07,Unemployed,High,9000000337
C00339,Citizen_339,M,1977-11-22,Retired,High,9000000338
C00340,Citizen_340,M,1976-11-12,Student,Middle,9000000339
C00341,Citizen_341,F,1977-05-07,Farmer,High,9000000340
C00342,Citizen_342,F,1999-02-14,Retired,High,9000000341
C00343,Citizen_343,F,1978-02-01,Retired,High,9000000342
C00344,Citizen_344,M,1989-11-05,Business Owner,High,9000000343
C00345,Citizen_345,M,1979-08-10,Agricultural Labour,Middle,9000000344
C00346,Citizen_346,M,1989-01-07,Business Owner,High,9000000345
C00347,Citizen_347,M,1963-08-10,Farmer,Middle,9000000346
C00348,Citizen_348,F,2002-01-02,Business Owner,Low,9000000347
C00349,Citizen_349,F,1978-09-22,Private Employee,Low,9000000348
C00350,Citizen_350,F,1969-12-07,Unemployed,High,9000000349
C00351,Citizen_351,M,1978-04-02,Retired,Middle,9000000350
C00352,Citizen_352,M,2003-11-13,Unemployed,Middle,9000000351
C00353,Citizen_353,M,1976-05-20,Business Owner,Low,9000000352
C00354,Citizen_354,F,2003-06-26,Private Employee,High,9000000353
C00355,Citizen_355,M,1976-03-14,Government Employee,Middle,9000000354
C00356,Citizen_356,F,1965-05-19,Retired,High,9000000355
C00357,Citizen_357,M,1984-07-04,Private Employee,High,9000000356
C00358,Citizen_358,F,2004-06-17,Student,Middle,9000000357
C00359,Citizen_359,F,1987-08-14,Unemployed,Middle,9000000358
C00360,Citizen_360,M,1995-01-25,Unemployed,Low,9000000359
C00361,Citizen_361,M,1999-05-26,Government Employee,High,9000000360
C00362,Citizen_362,F,1968-10-18,Business Owner,Low,9000000361
C00363,Citizen_363,F,1968-07-22,Farmer,Middle,9000000362
C00364,Citizen_364,F,1963-02-02,Business Owner,High,9000000363
C00365,Citizen_365,M,1981-10-04,Business Owner,High,9000000364
C00366,Citizen_366,F,2004-06-28,Farmer,Low,9000000365
C00367,Citizen_367,M,2004-04-17,Private Employee,High,9000000366
C00368,Citizen_368,F,1968-04-22,Private Employee,Middle,9000000367
C00369,Citizen_369,F,2006-01-26,Retired,High,9000000368
C00370,Citizen_370,M,1967-02-01,Private Employee,High,9000000369
C00371,Citizen_371,M,1993-02-08,Government Employee,Low,9000000370
C00372,Citizen_372,F,1961-09-15,Unemployed,Low,9000000371
C00373,Citizen_373,M,1979-07-16,Private Employee,Low,9000000372
C00374,Citizen_374,F,1999-11-15,Agricultural Labour,Middle,9000000373
C00375,Citizen_375,M,2000-01-06,Private Employee,High,9000000374
C00376,Citizen_376,M,1970-09-24,Government Employee,Middle,9000000375
C00377,Citizen_377,F,1978-05-22,Agricultural Labour,High,9000000376
C00378,Citizen_378,F,1983-11-09,Unemployed,Middle,9000000377
C00379,Citizen_379,M,1989-07-27,Unemployed,Low,9000000378
C00380,Citizen_380,M,1978-08-04,Unemployed,Low,9000000379
C00381,Citizen_381,F,1962-11-21,Retired,Low,9000000380
C00382,Citizen_382,F,1968-08-24,Retired,Middle,9000000381
C00383,Citizen_383,M,1970-06-17,Government Employee,Middle,9000000382
C00384,Citizen_384,F,1992-02-06,Private Employee,Middle,9000000383
C00385,Citizen_385,F,1989-12-28,Private Employee,Middle,9000000384
C00386,Citizen_386,F,1985-02-27,Retired,Middle,9000000385
C00387,Citizen_387,F,1998-11-06,Business Owner,Low,9000000386
C00388,Citizen_388,F,1997-10-12,Unemployed,Low,9000000387
C00389,Citizen_389,M,1961-12-06,Government Employee,Low,9000000388
C00390,Citizen_390,M,1991-11-16,Student,Low,9000000389
C00391,Citizen_391,M,1966-03-24,Unemployed,Middle,9000000390
C00392,Citizen_392,M,1963-10-09,Agricultural Labour,Low,9000000391
C00393,Citizen_393,M,1988-06-20,Farmer,Low,9000000392
C00394,Citizen_394,F,1966-12-15,Unemployed,Low,9000000393
C00395,Citizen_395,M,1972-05-16,Retired,High,9000000394
C00396,Citizen_396,F,1974-04-24,Private Employee,Middle,9000000395
C00397,Citizen_397,M,1965-10-01,Agricultural Labour,Low,9000000396
C00398,Citizen_398,M,1968-01-12,Unemployed,High,9000000397
C00399,Citizen_399,M,1981-03-22,Retired,Low,9000000398
C00400,Citizen_400,M,1996-08-17,Student,Middle,9000000399
C00401,Citizen_401,M,1964-08-14,Unemployed,Low,9000000400
C00402,Citizen_402,M,1968-09-10,Agricultural Labour,Low,9000000401
C00403,Citizen_403,F,1974-01-20,Student,Low,9000000402
C00404,Citizen_404,M,1978-05-13,Student,Low,9000000403
C00405,Citizen_405,M,1978-02-18,Government Employee,High,9000000404
C00406,Citizen_406,F,1985-10-02,Agricultural Labour,High,9000000405
C00407,Citizen_407,F,1976-11-01,Farmer,Middle,9000000406
C00408,Citizen_408,F,1976-04-11,Farmer,Low,9000000407
C00409,Citizen_409,M,1995-12-11,Farmer,Low,9000000408
C00410,Citizen_410,F,1964-10-20,Farmer,Middle,9000000409
C00411,Citizen_411,M,1986-10-24,Agricultural Labour,High,9000000410
C00412,Citizen_412,F,1968-05-24,Farmer,Low,9000000411
C00413,Citizen_413,M,1991-09-08,Student,Middle,9000000412
